County,Total County Population,0+,A+,B+,AB+,O-,A-,B-,AB-
Alcona,10167,3965,2847,966,559,763,763,203,102
Alger,8842,3448,2476,840,486,663,663,177,88
Allegan,120502,46996,33741,11448,6628,9038,9038,2410,1205
Alpena,28907,11274,8094,2746,1590,2168,2168,578,289
Antrim,23431,9138,6561,2226,1289,1757,1757,469,234
Arenac,15002,5851,4201,1425,825,1125,1125,300,150
Baraga,8209,3202,2299,780,451,616,616,164,82
Barry,61378,23937,17186,5831,3376,4603,4603,1228,614
Bay,103856,40504,29080,9866,5712,7789,7789,2077,1039
Benzie,17970,7008,5032,1707,988,1348,1348,359,180
Berrien,153401,59826,42952,14573,8437,11505,11505,3068,1534
Branch,45248,17647,12669,4299,2489,3394,3394,905,452
Calhoun,134310,52381,37607,12759,7387,10073,10073,2686,1343
Cass,51589,20120,14445,4901,2837,3869,3869,1032,516
Charlevoix,26054,10161,7295,2475,1433,1954,1954,521,261
Cheboygan,25579,9976,7162,2430,1407,1918,1918,512,256
Chippewa,37661,14688,10545,3578,2071,2825,2825,753,377
Clare,30856,12034,8640,2931,1697,2314,2314,617,309
Clinton,79128,30860,22156,7517,4352,5935,5935,1583,791
Crawford,13685,5337,3832,1300,753,1026,1026,274,137
Delta,36903,14392,10333,3506,2030,2768,2768,738,369
Dickinson,25239,9843,7067,2398,1388,1893,1893,505,252
Eaton,109175,42578,30569,10372,6005,8188,8188,2184,1092
Emmet,34112,13304,9551,3241,1876,2558,2558,682,341
Genesee,406211,158422,113739,38590,22342,30466,30466,8124,4062
Gladwin,25386,9901,7108,2412,1396,1904,1904,508,254
Gogebic,14380,5608,4026,1366,791,1079,1079,288,144
Grand Traverse,95238,37143,26667,9048,5238,7143,7143,1905,952
Gratiot,41761,16287,11693,3967,2297,3132,3132,835,418
Hillsdale,45065,17575,12618,4281,2479,3380,3380,901,451
Houghton,36356,14179,10180,3454,2000,2727,2727,727,364
Huron,31407,12249,8794,2984,1727,2356,2356,628,314
Ingham,284900,111111,79772,27066,15670,21368,21368,5698,2849
Ionia,67804,26444,18985,6441,3729,5085,5085,1356,678
Iosco,24104,9401,6749,2290,1326,1808,1808,482,241
Iron,11631,4536,3257,1105,640,872,872,233,116
Isabella,64394,25114,18030,6117,3542,4830,4830,1288,644
Jackson,160366,62543,44902,15235,8820,12027,12027,3207,1604
Kalamazoo,261670,102051,73268,24859,14392,19625,19625,5233,2617
Kalkaska,18038,7035,5051,1714,992,1353,1353,361,180
Kent,657974,256610,184233,62508,36189,49348,49348,13159,6580
Keweenaw,2046,798,573,194,113,153,153,41,20
Lake,12096,4717,3387,1149,665,907,907,242,121
Lapeer,88619,34561,24813,8419,4874,6646,6646,1772,886
Leelanau,22301,8697,6244,2119,1227,1673,1673,446,223
Lenawee,98774,38522,27657,9384,5433,7408,7408,1975,988
Livingston,193866,75608,54282,18417,10663,14540,14540,3877,1939
Luce,5339,2082,1495,507,294,400,400,107,53
Mackinac,10834,4225,3034,1029,596,813,813,217,108
Macomb,881217,343675,246741,83716,48467,66091,66091,17624,8812
Manistee,24516,9561,6864,2329,1348,1839,1839,490,245
Marquette,65292,25464,18282,6203,3591,4897,4897,1306,653
Mason,29052,11330,8135,2760,1598,2179,2179,581,291
Mecosta,42228,16469,11824,4012,2323,3167,3167,845,422
Menominee,23502,9166,6581,2233,1293,1763,1763,470,235
Midland,83494,32563,23378,7932,4592,6262,6262,1670,835
Missaukee,15052,5870,4215,1430,828,1129,1129,301,151
Monroe,154624,60303,43295,14689,8504,11597,11597,3092,1546
Montcalm,66614,25979,18652,6328,3664,4996,4996,1332,666
Montmorency,9153,3570,2563,870,503,686,686,183,92
Muskegon,175824,68571,49231,16703,9670,13187,13187,3516,1758
Newaygo,49978,19491,13994,4748,2749,3748,3748,1000,500
Oakland,1274395,497014,356831,121068,70092,95580,95580,25488,12744
Oceana,26936,10505,7542,2559,1481,2020,2020,539,269
Ogemaw,20770,8100,5816,1973,1142,1558,1558,415,208
Ontonagon,5816,2268,1628,553,320,436,436,116,58
Osceola,22891,8927,6409,2175,1259,1717,1717,458,229
Oscoda,8241,3214,2307,783,453,618,618,165,82
Otsego,25091,9785,7025,2384,1380,1882,1882,502,251
Ottawa,296200,115518,82936,28139,16291,22215,22215,5924,2962
Presque Isle,12498,4874,3499,1187,687,937,937,250,125
Roscommon,23459,9149,6569,2229,1290,1759,1759,469,235
Saginaw,190540,74311,53351,18101,10480,14291,14291,3811,1905
Sanilac,41248,16087,11549,3919,2269,3094,3094,825,412
Schoolcraft,8047,3138,2253,764,443,604,604,161,80
Shiawassee,68994,26908,19318,6554,3795,5175,5175,1380,690
St. Clair,160383,62549,44907,15236,8821,12029,12029,3208,1604
St. Joseph,61110,23833,17111,5805,3361,4583,4583,1222,611
Tuscola,53323,20796,14930,5066,2933,3999,3999,1066,533
Van Buren,75058,29273,21016,7131,4128,5629,5629,1501,751
Washtenaw,372258,145181,104232,35365,20474,27919,27919,7445,3723
Wayne,1793561,699489,502197,170388,98646,134517,134517,35871,17936
Wexford,33673,13132,9428,3199,1852,2525,2525,673,337
